Age,Height,Weight,Team,Year,Host_City,Event,GDP_adjustedPPP_Value,Cereal_yield_kg_per_hectare_Value,Military_expenditure_Value,Tax_revenue,Expense,Central_government_debt,Avg_Temp,Representing_Host,Medal_Binary
25.0,178.0,66.0,Botswana,1992,Barcelona,"Athletics Men's 1,500 metres",8262168200.27535,288.7,177986045.607732,2300645357.0629177,2519857881.129714,1035427359.4761982,21.5,N,0
33.0,178.0,72.0,Burundi,1996,Atlanta,Athletics Men's Marathon,3360049675.4719,1386.0,50893980.78263371,451556960.9476821,572242895.6995252,1804312655.477846,19.8,N,0
20.0,188.0,72.0,Cuba,2016,Rio de Janeiro,Athletics Men's 400 metres Hurdles,4542613596048.434,2939.3,123656387.665198,752850963618.7247,1170494839194.9492,2655930852715.9106,25.2,N,0
25.0,174.0,72.0,France,1984,Los Angeles,Athletics Men's 100 metres,1026359782091.95,5976.8,20212344344.6148,200832061795.91757,421514962096.6234,633315779221.4076,10.7,N,0
25.0,174.0,72.0,France,1984,Los Angeles,Athletics Men's 4 x 100 metres Relay,1026359782091.95,5976.8,20212344344.6148,200832061795.91757,421514962096.6234,633315779221.4076,10.7,N,0
22.0,189.0,83.0,Russian Federation,1988,Seoul,Athletics Men's Pole Vault,1188578475445.01,1743.2,7766720078.413421,133630364335.37096,321485421614.6354,1710946824072.3472,-5.1,N,1
28.0,165.0,57.0,Kenya,2016,Rio de Janeiro,Athletics Men's 20 kilometres Walk,153116925742.207,1390.7,933103002.5495721,24190096719.378784,35866964560.66712,89522905383.25653,24.75,N,0
22.0,186.0,80.0,United States,2004,Athina,Athletics Men's 100 metres,12274928000000.0,6850.9,464676000000.0,1165100000000.0,2498699999999.9937,6922545000000.0,8.55,N,1
22.0,186.0,80.0,United States,2004,Athina,Athletics Men's 200 metres,12274928000000.0,6850.9,464676000000.0,1165100000000.0,2498699999999.9937,6922545000000.0,8.55,N,1
22.0,186.0,80.0,United States,2004,Athina,Athletics Men's 4 x 100 metres Relay,12274928000000.0,6850.9,464676000000.0,1165100000000.0,2498699999999.9937,6922545000000.0,8.55,N,1
30.0,186.0,80.0,United States,2012,London,Athletics Men's 100 metres,16197007000000.0,5911.9,684780000000.0,1586799999999.9995,3887200000000.0034,15251655000000.004,8.55,N,1
30.0,186.0,80.0,United States,2012,London,Athletics Men's 4 x 100 metres Relay,16197007000000.0,5911.9,684780000000.0,1586799999999.9995,3887200000000.0034,15251655000000.004,8.55,N,0
34.0,186.0,80.0,United States,2016,Rio de Janeiro,Athletics Men's 100 metres,18707189000000.0,8142.9,600106443000.0,2054599999999.9998,4225400000000.0005,18523318000000.004,8.55,N,1
34.0,186.0,80.0,United States,2016,Rio de Janeiro,Athletics Men's 200 metres,18707189000000.0,8142.9,600106443000.0,2054599999999.9998,4225400000000.0005,18523318000000.004,8.55,N,0
34.0,186.0,80.0,United States,2016,Rio de Janeiro,Athletics Men's 4 x 100 metres Relay,18707189000000.0,8142.9,600106443000.0,2054599999999.9998,4225400000000.0005,18523318000000.004,8.55,N,0
26.0,181.0,73.0,Argentina,1996,Atlanta,Athletics Men's 100 metres,380819668886.257,2712.8,3379138769.76541,31119775146.572475,57753388323.68018,204496306421.3789,14.8,N,0
26.0,181.0,73.0,Argentina,1996,Atlanta,Athletics Men's 200 metres,380819668886.257,2712.8,3379138769.76541,31119775146.572475,57753388323.68018,204496306421.3789,14.8,N,0
30.0,181.0,73.0,Argentina,2000,Sydney,Athletics Men's 200 metres,437546664178.551,3472.5,3266633316.65833,42103380629.64398,73651741577.31093,239174160763.07202,14.8,N,0
22.0,189.0,97.0,Greece,1996,Atlanta,Athletics Men's Javelin Throw,171112020745.35098,3710.3,4613167576.65798,31888587565.742615,75579705692.3502,91885422643.897,15.4,N,0
26.0,189.0,97.0,Greece,2000,Sydney,Athletics Men's Javelin Throw,210917566897.62305,3869.0,4564522446.23907,47394277864.054504,91419782582.72612,115292918865.31769,15.4,N,0
22.0,174.0,76.0,Italy,1960,Roma,Athletics Men's Triple Jump,1051994753957.28,2181.5,1137890480.7564,132468679333.42816,280968534407.3865,753853788281.6494,13.45,Y,0
33.0,180.0,97.0,Monaco,2004,Athina,Athletics Men's 100 metres,2158145695797.6487,2950.727871537445,37385803680.950806,346192447248.7094,520293464076.6854,1215313991263.2432,13.55,N,0
37.0,180.0,97.0,Monaco,2008,Beijing,Athletics Men's 100 metres,2998661067210.053,3074.8462574052865,53668155859.04055,508001371219.4417,736329866733.9899,1564391043522.9775,13.55,N,0
25.0,186.0,70.0,Germany,1980,Moskva,Athletics Men's 50 kilometres Walk,1542829292000.47,4227.6,26692620066.7558,159244969989.7515,393127614518.6682,324149713504.99634,8.5,N,1
33.0,186.0,70.0,Germany,1988,Seoul,Athletics Men's 50 kilometres Walk,1542829292000.47,5173.7,35096843455.7166,152026640728.91885,395624221290.8293,324149713504.99634,8.5,N,1
37.0,186.0,70.0,Germany,1992,Barcelona,Athletics Men's 50 kilometres Walk,1747673301417.26,5335.6,41965836692.9298,206236005789.42807,549314257909.95197,422645269550.6613,8.5,N,0
23.0,180.0,78.0,France,1972,Munich,Athletics Men's High Jump,1026359782091.95,4168.7,7531246911.71805,191676161211.1877,307961698763.933,709966791432.5177,10.7,N,0
26.0,173.0,60.0,Spain,1992,Barcelona,Athletics Men's Marathon,579643052336.549,1955.2,12250195429.6283,92211724209.8693,143224532650.52356,1560490304843.5752,13.3,Y,0
20.0,187.0,86.0,Romania,1972,Munich,Athletics Men's Decathlon,122097610481.772,2711.0,1824593128.3906,5358043288.257329,48576721284.18609,84458929770.8423,8.8,N,0
